"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"04.01.2021 11:00 - 04.01.2021 11:15","62886","71298"
"04.01.2021 11:15 - 04.01.2021 11:30","62939","71286"
"04.01.2021 11:30 - 04.01.2021 11:45","62876","71282"
"04.01.2021 11:45 - 04.01.2021 12:00","62743","71006"
"04.01.2021 12:00 - 04.01.2021 12:15","62630","70922"
"04.01.2021 12:15 - 04.01.2021 12:30","62301","70821"
"04.01.2021 12:30 - 04.01.2021 12:45","61803","70544"
"04.01.2021 12:45 - 04.01.2021 13:00","61105","69914"
"04.01.2021 13:00 - 04.01.2021 13:15","61030","69975"
"04.01.2021 13:15 - 04.01.2021 13:30","60786","69717"
"04.01.2021 13:30 - 04.01.2021 13:45","60754","69553"
"04.01.2021 13:45 - 04.01.2021 14:00","60475","69400"
"04.01.2021 14:00 - 04.01.2021 14:15","60414","69845"
"04.01.2021 14:15 - 04.01.2021 14:30","59873","69599"
"04.01.2021 14:30 - 04.01.2021 14:45","59912","69406"
"04.01.2021 14:45 - 04.01.2021 15:00","59777","69138"
"04.01.2021 15:00 - 04.01.2021 15:15","59842","69800"
"04.01.2021 15:15 - 04.01.2021 15:30","60281","69910"
"04.01.2021 15:30 - 04.01.2021 15:45","60743","70449"
"04.01.2021 15:45 - 04.01.2021 16:00","61363","71138"
"04.01.2021 16:00 - 04.01.2021 16:15","61839","71716"
"04.01.2021 16:15 - 04.01.2021 16:30","62562","72088"
"04.01.2021 16:30 - 04.01.2021 16:45","63434","72343"
"04.01.2021 16:45 - 04.01.2021 17:00","63833","72499"
"04.01.2021 17:00 - 04.01.2021 17:15","63599","72202"
"04.01.2021 17:15 - 04.01.2021 17:30","63725","71886"
"04.01.2021 17:30 - 04.01.2021 17:45","63433","71691"
"04.01.2021 17:45 - 04.01.2021 18:00","63578","71128"
"04.01.2021 18:00 - 04.01.2021 18:15","63025","70620"
"04.01.2021 18:15 - 04.01.2021 18:30","62095","70134"
"04.01.2021 18:30 - 04.01.2021 18:45","61810","69683"
"04.01.2021 18:45 - 04.01.2021 19:00","61162","68838"
"04.01.2021 19:00 - 04.01.2021 19:15","60032","67850"
"04.01.2021 19:15 - 04.01.2021 19:30","58670","66849"
"04.01.2021 19:30 - 04.01.2021 19:45","57794","65828"
"04.01.2021 19:45 - 04.01.2021 20:00","56993","64840"
"04.01.2021 20:00 - 04.01.2021 20:15","56515","64185"
"04.01.2021 20:15 - 04.01.2021 20:30","56230","63436"
"04.01.2021 20:30 - 04.01.2021 20:45","55286","62681"
"04.01.2021 20:45 - 04.01.2021 21:00","54946","61828"
"04.01.2021 21:00 - 04.01.2021 21:15","55114","61712"
